"","word","n"
"307","i didn't",1461
"308","not the",1460
"309","the rest",1456
"310","to give",1450
"311","we had",1450
"312","are a",1448
"313","a year",1446
"314","got a",1446
"315","up in",1446
"316","who is",1440
"317","the top",1437
"318","years ago",1437
"319","high school",1434
"320","the one",1434
"321","at all",1430
"322","to play",1430
"323","been a",1422
"324","my life",1417
"325","of all",1413
"326","get the",1412
"327","and in",1410
"328","so many",1401
"329","the house",1400
"330","may be",1397
"331","time i",1392
"332","no one",1391
"333","that would",1389
"334","it's not",1388
"335","is going",1387
"336","you for",1387
"337","did you",1386
"338","on this",1380
"339","don't know",1379
"340","be in",1377
"341","before the",1377
"342","you don't",1369
"343","know that",1367
"344","you get",1359
"345","take a",1354
"346","it in",1351
"347","now i",1348
"348","the u.s",1344
"349","we will",1344
"350","of us",1335
"351","the two",1334
"352","was in",1330
"353","was not",1330
"354","to use",1324
"355","let me",1318
"356","be able",1316
"357","of her",1315
"358","you and",1312
"359","those who",1309
"360","if they",1308
"361","is so",1305
"362","i don’t",1304
"363","on your",1300
"364","what the",1300
"365","for all",1297
"366","them to",1297
"367","for your",1296
"368","to hear",1296
"369","feel like",1292
"370","follow me",1290
"371","when they",1285
"372","she is",1282
"373","with you",1282
"374","lots of",1281
"375","not be",1277
"376","last week",1272
"377","number of",1272
"378","to start",1270
"379","and to",1268
"380","first time",1265
"381","on his",1265
"382","how much",1264
"383","the whole",1264
"384","when it",1264
"385","after a",1251
"386","is no",1251
"387","of that",1250
"388","and my",1246
"389","you think",1246
"390","this morning",1243
"391","so far",1241
"392","went to",1240
"393","i hate",1237
"394","hard to",1229
"395","of these",1229
"396","about a",1228
"397","and not",1228
"398","is one",1228
"399","ready to",1227
"400","than the",1226
"401","who are",1223
"402","as an",1222
"403","rest of",1221
"404","with his",1221
"405","you do",1219
"406","as it",1217
"407","down the",1216
"408","will have",1215
"409","you need",1214
"410","does not",1213
"411","love to",1213
"412","enough to",1212
"413","and is",1209
"414","i wish",1202
"415","the people",1200
"416","couple of",1198
"417","to all",1198
"418","of an",1197
"419","out there",1197
"420","him to",1196
"421","to his",1196
"422","what a",1195
"423","back in",1191
"424","me a",1185
"425","that are",1182
"426","with me",1182
"427","instead of",1178
"428","the year",1177
"429","where the",1177
"430","check out",1175
"431","up for",1175
"432","too much",1174
"433","to this",1171
"434","i guess",1170
"435","might be",1167
"436","come to",1163
"437","away from",1162
"438","but he",1157
"439","in that",1146
"440","when we",1141
"441","looking forward",1135
"442","to win",1130
"443","i've been",1128
"444","against the",1127
"445","if it",1124
"446","said that",1124
"447","it all",1123
"448","decided to",1117
"449","up on",1116
"450","across the",1114
"451","that will",1113
"452","to your",1113
"453","wait to",1111
"454","for an",1108
"455","this weekend",1108
"456","don't have",1105
"457","for his",1104
"458","it out",1103
"459","said i",1101
"460","that a",1101
"461","wants to",1099
"462","you guys",1098
"463","a day",1093
"464","who was",1092
"465","the company",1091
"466","hope you",1090
"467","we need",1084
"468","not only",1083
"469","or the",1083
"470","make the",1082
"471","than a",1082
"472","love the",1080
"473","thanks to",1080
"474","many of",1079
"475","a small",1078
"476","having a",1078
"477","the big",1077
"478","must be",1075
"479","have you",1074
"480","out and",1074
"481","think i",1074
"482","got to",1073
"483","you should",1072
"484","under the",1068
"485","time for",1067
"486","and more",1066
"487","each other",1066
"488","the fact",1062
"489","of its",1061
"490","up a",1060
"491","their own",1059
"492","said it",1054
"493","of what",1053
"494","this time",1045
"495","need a",1044
"496","needs to",1044
"497","this was",1041
"498","do i",1040
"499","is my",1040
"500","the country",1039
"501","as much",1037
"502","st louis",1037
"503","to put",1035
"504","better than",1024
"505","like that",1024
"506","or a",1024
"507","about to",1023
"508","make sure",1019
"509","that she",1018
"510","what they",1017
"511","to our",1014
"512","the book",1013
"513","a week",1011
"514","based on",1008
"515","in which",1008
"516","as they",1006
"517","my favorite",1006
"518","is just",1005
"519","you i",1003
"520","get it",1002
"521","then i",1001
"522","it a",1000
"523","a man",999
"524","who has",998
"525","in her",997
"526","of people",991
"527","like it",990
"528","as he",989
"529","with an",989
"530","going on",986
"531","know how",986
"532","have no",985
"533","to meet",985
"534","for some",984
"535","so that",982
"536","is still",981
"537","there were",980
"538","if we",979
"539","and was",977
"540","can do",977
"541","looks like",977
"542","talking about",976
"543","you were",976
"544","but not",974
"545","along with",969
"546","it the",969
"547","to watch",969
"548","i see",968
"549","to her",968
"550","ready for",967
"551","are in",965
"552","and all",964
"553","as we",963
"554","on it",960
"555","on their",959
"556","what we",959
"557","i still",954
"558","is on",954
"559","and have",951
"560","the story",951
"561","with her",947
"562","the case",946
"563","i'm going",944
"564","even though",943
"565","fact that",943
"566","the show",942
"567","at this",941
"568","had the",941
"569","working on",941
"570","for that",940
"571","to try",940
"572","like i",933
"573","the team",933
"574","for our",932
"575","but they",930
"576","has to",929
"577","can you",927
"578","day of",927
"579","even if",926
"580","i saw",924
"581","said in",924
"582","because it",921
"583","it up",921
"584","was so",921
"585","say that",918
"586","for it",917
"587","know i",917
"588","down to",916
"589","could have",915
"590","as you",914
"591","i wanted",914
"592","was just",914
"593","in fact",913
"594","they can",913
"595","but we",909
"596","and so",908
"597","if he",908
"598","the final",908
"599","i'll be",907
"600","wish i",904
"601","i should",902
"602","happy birthday",901
"603","the middle",901
"604","new jersey",900
"605","talk about",900
"606","us to",900
"607","because the",899
"608","it on",899
"609","love it",899
"610","and now",897
"611","in and",897
"612","percent of",897
"613","to it",896
"614","a while",895
"615","my own",895
"616","like this",894
"617","to look",894
"618","at home",893
"619","he would",893
"620","that has",893
"621","due to",892
"622","are so",891
"623","for more",888
"624","is what",888
"625","will not",887
"626","for her",886
"627","the united",886
"628","with this",886
"629","all i",885
"630","and get",885
"631","listening to",885
"632","this one",883
"633","to talk",883
"634","should have",881
"635","think of",880
"636","and she",877
"637","for us",877
"638","and if",876
"639","less than",876
"640","i went",875
"641","tried to",875
"642","to an",874
"643","with your",874
"644","can get",872
"645","chance to",872
"646","that this",872
"647","people are",870
"648","i mean",869
"649","in new",869
"650","not sure",869
"651","to their",869
"652","you like",869
"653","is also",866
"654","a chance",863
"655","but you",862
"656","i never",861
"657","if you're",861
"658","since the",860
"659","to tell",859
"660","we all",859
"661","bit of",858
"662","from my",855
"663","on that",855
"664","to pay",855
"665","am i",852
"666","i used",852
"667","my mom",852
"668","the word",852
"669","how many",851
"670","much of",850
"671","with it",849
"672","i miss",848
"673","out in",848
"674","i also",847
"675","rather than",847
"676","time and",845
"677","you a",845
"678","do the",844
"679","in one",843
"680","they will",843
"681","to stop",843
"682","side of",842
"683","it for",841
"684","seems to",841
"685","a time",839
"686","me that",839
"687","on twitter",839
"688","for their",838
"689","on to",838
"690","the night",838
"691","is now",837
"692","day i",836
"693","so we",834
"694","to buy",833
"695","you could",833
"696","and how",831
"697","the follow",831
"698","all that",828
"699","not have",828
"700","out for",828
"701","sort of",828
"702","a huge",827
"703","and i'm",827
"704","today i",826
"705","in order",824
"706","to stay",823
"707","good morning",819
"708","you all",818
"709","i found",817
"710","front of",816
"711","the back",814
"712","think about",814
"713","time in",814
"714","who have",814
"715","i knew",813
"716","all day",811
"717","have an",810
"718","tell me",808
"719","and her",807
"720","to think",807
"721","and their",802
"722","a way",801
"723","that there",800
"724","his own",799
"725","you in",799
"726","the more",798
"727","no longer",797
"728","or not",797
"729","and this",795
"730","but that",793
"731","united states",793
"732","being a",792
"733","just got",792
"734","the future",791
"735","tell you",790
"736","made a",789
"737","off to",789
"738","the national",789
"739","i said",787
"740","supposed to",787
"741","are going",786
"742","full of",785
"743","me the",785
"744","do with",783
"745","to share",782
"746","and some",781
"747","any of",781
"748","they had",781
"749","because they",780
"750","was going",780
"751","the season",779
"752","listen to",778
"753","lol i",778
"754","makes me",778
"755","the old",778
"756","where i",777
"757","a nice",776
"758","and for",776
"759","los angeles",776
"760","the road",776
"761","you can't",776
"762","but it's",775
"763","i'm a",774
"764","told me",774
"765","while the",774
"766","all my",773
"767","seem to",772
"768","in front",771
"769","to read",771
"770","we do",771
"771","think that",770
"772","to follow",770
"773","the idea",769
"774","talk to",768
"775","and what",766
"776","for those",766
"777","be on",765
"778","wait for",765
"779","what it",765
"780","next week",763
"781","she has",763
"782","is this",762
"783","my first",762
"784","between the",759
"785","to live",759
"786","waiting for",759
"787","may have",758
"788","every day",756
"789","with that",755
"790","which was",754
"791","all over",753
"792","back and",753
"793","the man",752
"794","not just",751
"795","with all",751
"796","you just",750
"797","close to",749
"798","can i",748
"799","there's a",743
"800","live in",742
"801","to learn",742
"802","when she",742
"803","it but",741
"804","made it",741
"805","me in",740
"806","what are",740
"807","life is",739
"808","the third",739
"809","on our",738
"810","only one",738
"811","the entire",738
"812","to write",738
"813","to show",737
"814","do that",736
"815","to create",736
"816","good luck",734
"817","before i",733
"818","in all",733
"819","the school",733
"820","until the",733
"821","and has",732
"822","continue to",732
"823","got the",732
"824","top of",732
"825","but i'm",730
"826","has the",729
"827","i made",728
"828","of time",727
"829","the kids",726
"830","what he",726
"831","take the",725
"832","him and",724
"833","how i",724
"834","well i",724
"835","with their",724
"836","one day",723
"837","about this",722
"838","don't want",722
"839","it's the",722
"840","expected to",719
"841","would like",719
"842","you see",719
"843","and when",718
"844","interested in",717
"845","know the",717
"846","much more",717
"847","the good",717
"848","and it's",716
"849","day and",716
"850","them and",715
"851","and will",714
"852","the public",714
"853","to bring",713
"854","was an",713
"855","and an",711
"856","but if",711
"857","to that",711
"858","amount of",709
"859","so the",709
"860","it with",708
"861","for him",707
"862","order to",707
"863","how the",706
"864","much as",706
"865","with some",705
"866","next year",702
"867","sense of",702
"868","that one",701
"869","a better",698
"870","and even",698
"871","he says",697
"872","just as",697
"873","the great",696
"874","them in",696
"875","can see",695
"876","are all",694
"877","the morning",694
"878","day to",692
"879","no matter",691
"880","your own",691
"881","at my",690
"882","find a",690
"883","here is",689
"884","it just",689
"885","that in",687
"886","a large",685
"887","an hour",685
"888","here in",685
"889","and one",684
"890","to move",684
"891","lack of",683
"892","for them",682
"893","he will",682
"894","in some",682
"895","on her",681
"896","people in",681
"897","of me",680
"898","i'm so",678
"899","see what",678
"900","she had",678
"901","director of",677
"902","to him",677
"903","as if",676
"904","he did",676
"905","said they",675
"906","my new",674
"907","what do",674
"908","and there",673
"909","among the",672
"910","the family",671
"911","how do",670
"912","to change",670
"913","two years",670
"914","who had",670
"915","the real",668
"916","in it",666
"917","out on",665
"918","so you",665
"919","social media",665
"920","would you",665
"921","next to",664
"922","this season",664
"923","what to",663
"924","it as",662
"925","it seems",661
"926","came to",660
"927","i always",660
"928","a bad",659
"929","about how",659
"930","and as",657
"931","don't think",657
"932","now that",657
"933","said she",657
"934","you the",657
"935","look like",656
"936","the sun",656
"937","out with",654
"938","and your",652
"939","along the",651
"940","out a",650
"941","which i",650
"942","i haven't",649
"943","that my",649
"944","why i",649
"945","my mind",647
"946","excited to",644
"947","good to",644
"948","made the",644
"949","year and",644
"950","yes i",644
"951","and its",643
"952","to sleep",643
"953","we should",643
"954","would not",643
"955","just like",642
"956","to eat",642
"957","do a",641
"958","is more",641
"959","you would",640
"960","it comes",638
"961","a friend",637
"962","ability to",637
"963","to run",637
"964","more of",636
"965","not going",636
"966","even more",635
"967","is about",634
"968","where you",634
"969","and no",633
"970","be there",633
"971","may not",633
"972","my friend",633
"973","things that",633
"974","but a",632
"975","for example",631
"976","the biggest",631
"977","gonna be",630
"978","i believe",630
"979","think the",630
"980","we don't",630
"981","comes to",629
"982","the week",629
"983","his first",627
"984","san francisco",627
"985","i felt",626
"986","it’s a",626
"987","was on",625
"988","in its",624
"989","it can",624
"990","the car",624
"991","of being",623
"992","would love",623
"993","but in",622
"994","you so",622
"995","is all",621
"996","my heart",621
"997","long time",619
"998","to leave",619
"999","to let",619
"1000","behind the",617
"1001","thinking about",617
"1002","list of",616
"1003","is your",615
"1004","the main",614
"1005","think it",614
"1006","a second",613
"1007","same time",613
"1008","so it",613
"1009","the bottom",613
"1010","when a",612
"1011","happy to",611
"1012","me know",611
"1013","of new",611
"1014","but this",610
"1015","a whole",609
"1016","use of",609
"1017","the number",608
"1018","the university",608
"1019","where he",608
"1020","at work",607
"1021","with him",607
"1022","you may",607
"1023","looking at",606
"1024","see it",606
"1025","a real",605
"1026","after all",605
"1027","did i",605
"1028","my head",605
"1029","took a",604
"1030","people to",603
"1031","to them",603
"1032","willing to",603
"1033","do this",602
"1034","they would",602
"1035","i say",601
"1036","long as",601
"1037","the door",601
"1038","we got",601
"1039","work on",601
"1040","become a",600
"1041","in love",600
"1042","the american",600
"1043","the ball",600
"1044","rt i",599
"1045","use the",599
"1046","years of",599
"1047","a single",598
"1048","and on",597
"1049","miss you",597
"1050","the movie",597
"1051","university of",597
"1052","every time",596
"1053","easy to",595
"1054","know if",595
"1055","that have",595
"1056","on saturday",594
"1057","the government",594
"1058","focus on",593
"1059","something that",593
"1060","you too",593
"1061","a game",592
"1062","all about",592
"1063","are still",591
"1064","deal with",591
"1065","sure to",591
"1066","the very",590
"1067","time of",589
"1068","only a",588
"1069","to spend",588
"1070","a different",587
"1071","back on",587
"1072","they do",587
"1073","with us",587
"1074","a wonderful",586
"1075","and had",585
"1076","have some",585
"1077","the worst",585
"1078","your life",585
"1079","and make",583
"1080","find out",583
"1081","might have",583
"1082","today is",583
"1083","it's been",582
"1084","like you",582
"1085","the process",582
"1086","on friday",581
"1087","what was",581
"1088","believe that",580
"1089","piece of",580
"1090","needed to",579
"1091","am not",578
"1092","it so",578
"1093","and are",577
"1094","that if",577
"1095","that's a",577
"1096","was one",577
"1097","and see",576
"1098","president of",576
"1099","be an",575
"1100","we could",575
"1101","had no",573
"1102","a half",571
"1103","here and",571
"1104","make me",571
"1105","sounds like",571
"1106","the money",571
"1107","since i",570
"1108","come back",569
"1109","hope to",569
"1110","over a",569
"1111","a month",568
"1112","have any",568
"1113","there will",568
"1114","they don't",568
"1115","about what",567
"1116","just the",567
"1117","that can",567
"1118","the point",567
"1119","is like",566
"1120","as long",565
"1121","now the",565
"1122","see a",565
"1123","while i",565
"1124","life and",564
"1125","he could",563
"1126","home and",563
"1127","his wife",562
"1128","of life",562
"1129","the law",562
"1130","the name",562
"1131","the water",562
"1132","with them",562
"1133","a book",561
"1134","and said",561
"1135","because he",561
"1136","for one",561
"1137","that's what",561
"1138","throughout the",561
"1139","told the",561
"1140","was to",561
"1141","little bit",560
"1142","up at",560
"1143","could not",559
"1144","pick up",559
"1145","the weekend",559
"1146","group of",558
"1147","on monday",558
"1148","one that",557
"1149","the problem",557
"1150","then the",557
"1151","the ground",556
"1152","version of",556
"1153","we want",556
"1154","work and",556
"1155","get out",555
"1156","now and",555
"1157","was that",555
"1158","come on",554
"1159","time the",554
"1160","a full",553
"1161","i might",553
"1162","i started",553
"1163","known as",553
"1164","on and",553
"1165","one thing",553
"1166","the lord",553
"1167","the truth",553
"1168","from his",552
"1169","i decided",552
"1170","you might",552
"1171","but when",551
"1172","coming to",551
"1173","go on",550
"1174","it had",550
"1175","many people",550
"1176","so excited",550
"1177","through a",550
"1178","to call",549
"1179","way of",549
"1180","the front",548
"1181","in to",547
"1182","opportunity to",547
"1183","to check",547
"1184","about that",546
"1185","a woman",545
"1186","friends and",545
"1187","i remember",545
"1188","not that",545
"1189","the film",545
"1190","have had",544
"1191","know you",544
"1192","some people",544
"1193","the street",544
"1194","right to",543
"1195","made me",542
"1196","two of",542
"1197","we get",542
"1198","is there",541
"1199","the event",541
"1200","the air",540
"1201","and just",538
"1202","i go",538
"1203","be more",537
"1204","me on",537
"1205","plenty of",537
"1206","that could",537
"1207","say the",536
"1208","you go",536
"1209","a job",535
"1210","my friends",535
"1211","not in",535
"1212","to become",535
"1213","type of",535
"1214","a more",534
"1215","how you",534
"1216","i’m not",534
"1217","it does",533
"1218","members of",533
"1219","work in",533
"1220","i find",532
"1221","likely to",532
"1222","san diego",532
"1223","set up",532
"1224","the internet",532
"1225","too many",532
"1226","few days",531
"1227","not even",531
"1228","is very",530
"1229","nice to",530
"1230","on an",530
"1231","you love",530
"1232","down and",529
"1233","member of",529
"1234","that's the",528
"1235","in addition",527
"1236","there and",527
"1237","her to",526
"1238","so good",525
"1239","the area",525
"1240","the federal",525
"1241","with no",525
"1242","half of",524
"1243","i dont",524
"1244","welcome to",524
"1245","care of",523
"1246","though i",523
"1247","he also",522
"1248","health care",522
"1249","of god",522
"1250","come out",521
"1251","he can",521
"1252","it could",521
"1253","the moment",521
"1254","a place",520
"1255","at me",520
"1256","it doesn't",520
"1257","out that",520
"1258","place to",520
"1259","thousands of",520
"1260","watching the",520
"1261","years and",520
"1262","plan to",519
"1263","what happened",519
"1264","a beautiful",518
"1265","be at",518
"1266","know it",518
"1267","these are",517
"1268","at that",516
"1269","proud of",516
"1270","is for",515
"1271","just to",515
"1272","and be",514
"1273","here are",514
"1274","i wonder",514
"1275","is good",514
"1276","something to",514
"1277","has not",513
"1278","see how",513
"1279","see if",513
"1280","the following",513
"1281","not so",512
"1282","one is",512
"1283","these days",512
"1284","any other",511
"1285","idea of",511
"1286","the things",511
"1287","we know",511
"1288","the board",510
"1289","the original",510
"1290","over and",509
"1291","for following",508
"1292","to build",508
"1293","we would",508
"1294","but there",507
"1295","can make",507
"1296","one in",507
"1297","also a",506
"1298","go back",506
"1299","the current",506
"1300","in other",505
"1301","my husband",505
"1302","said we",505
"1303","the group",505
"1304","year the",505
"1305","thing i",504
"1306","been in",503
"1307","have not",503
"1308","love that",503
"1309","the power",502
"1310","within the",502
"1311","on top",501
"1312","a major",500
"1313","find the",500
"1314","of how",500
"1315","time with",500
"1316","the white",499
"1317","up i",499
"1318","good for",498
"1319","get my",497
"1320","the beginning",497
"1321","to add",497
"1322","was no",497
"1323","day in",496
"1324","i'm sure",496
"1325","plans to",496
"1326","the three",496
"1327","department of",494
"1328","family and",494
"1329","read the",494
"1330","get back",493
"1331","next time",493
"1332","to pick",493
"1333","you on",493
"1334","but also",492
"1335","called the",492
"1336","me for",492
"1337","a part",491
"1338","give me",491
"1339","the work",491
"1340","involved in",490
"1341","said but",490
"1342","to ask",490
"1343","we just",490
"1344","i look",489
"1345","over to",489
"1346","today and",489
"1347","on how",488
"1348","the latest",488
"1349","work with",488
"1350","last month",487
"1351","middle of",487
"1352","still have",487
"1353","to us",487
"1354","were the",487
"1355","a free",486
"1356","all you",486
"1357","here i",486
"1358","is really",486
"1359","it makes",486
"1360","a group",485
"1361","of which",485
"1362","you got",485
"1363","a special",484
"1364","than i",484
"1365","i didn’t",483
"1366","say i",483
"1367","as she",482
"1368","i wanna",482
"1369","it's just",482
"1370","someone who",482
"1371","are some",481
"1372","place in",481
"1373","you had",481
"1374","will never",480
"1375","get in",479
"1376","how it",479
"1377","million in",478
"1378","pretty much",478
"1379","the field",478
"1380","end up",477
"1381","let us",477
"1382","the bill",477
"1383","the person",477
"1384","were in",477
"1385","no idea",476
"1386","or two",476
"1387","to bed",476
"1388","great day",475
"1389","near the",475
"1390","will get",475
"1391","the place",474
"1392","a number",473
"1393","but then",473
"1394","get some",473
"1395","follow back",472
"1396","thought it",472
"1397","i took",471
"1398","is being",471
"1399","love and",471
"1400","this month",471
"1401","wake up",471
"1402","you feel",471
"1403","it should",470
"1404","pay for",470
"1405","shout out",470
"1406","the floor",470
"1407","was also",470
"1408","without a",470
"1409","him in",469
"1410","it also",469
"1411","this summer",469
"1412","thought i",469
"1413","come in",468
"1414","i'm just",468
"1415","out i",468
"1416","the little",468
"1417","they want",468
"1418","a person",467
"1419","but she",467
"1420","i'm in",467
"1421","or so",467
"1422","the market",467
"1423","was very",467
"1424","who will",467
"1425","starting to",466
"1426","is always",465
"1427","let the",465
"1428","much for",465
"1429","the summer",465
"1430","to turn",465
"1431","way i",465
"1432","do we",464
"1433","me up",464
"1434","no more",464
"1435","even the",463
"1436","take it",463
"1437","to one",463
"1438","a girl",462
"1439","it’s not",462
"1440","they could",462
"1441","a pretty",461
"1442","and with",461
"1443","came out",461
"1444","my way",461
"1445","were a",461
"1446","were not",461
"1447","all this",460
"1448","keep the",460
"1449","want a",460
"1450","with our",460
"1451","i read",459
"1452","state of",459
"1453","the police",459
"1454","your favorite",459
"1455","figure out",458
"1456","on me",458
"1457","that were",458
"1458","the music",458
"1459","we love",458
"1460","and let",457
"1461","had an",457
"1462","series of",457
"1463","why is",457
"1464","hit the",456
"1465","in any",456
"1466","my family",456
"1467","the former",456
"1468","a former",455
"1469","me so",455
"1470","me too",455
"1471","will take",455
"1472","won the",455
"1473","a statement",454
"1474","about my",454
"1475","the room",454
"1476","happened to",453
"1477","i told",453
"1478","new year",453
"1479","to save",453
"1480","using the",453
"1481","are just",452
"1482","have it",452
"1483","it wasn't",452
"1484","trip to",452
"1485","create a",451
"1486","more about",451
"1487","three years",451
"1488","getting a",450
"1489","one more",450
"1490","the early",450
"1491","the perfect",450
"1492","to school",450
"1493","tonight at",450
"1494","where they",450
"1495","which has",450
"1496","a really",449
"1497","and at",449
"1498","my phone",449
"1499","on tuesday",449
"1500","we did",449
"1501","it when",448
"1502","put it",448
"1503","year i",448
"1504","but for",447
"1505","few years",447
"1506","its own",447
"1507","nothing to",447
"1508","the food",447
"1509","why do",447
"1510","and two",446
"1511","that means",446
"1512","the job",446
"1513","to visit",446
"1514","it takes",445
"1515","none of",445
"1516","watch the",445
"1517","about you",444
"1518","making a",444
"1519","to avoid",444
"1520","an amazing",443
"1521","including the",443
"1522","on sunday",443
"1523","the project",443
"1524","access to",442
"1525","if u",442
"1526","put the",442
"1527","where we",442
"1528","won't be",442
"1529","think you",441
"1530","working with",441
"1531","yeah i",441
"1532","go out",440
"1533","that way",440
"1534","the rt",440
"1535","and of",439
"1536","be sure",439
"1537","did the",439
"1538","ice cream",439
"1539","us and",439
"1540","the county",438
"1541","is only",437
"1542","addition to",436
"1543","don't like",436
"1544","don’t know",436
"1545","how are",436
"1546","to provide",436
"1547","the us",435
"1548","two weeks",435
"1549","very good",435
"1550","will do",435
"1551","best of",434
"1552","of things",434
"1553","them i",434
"1554","to support",434
"1555","very much",434
"1556","work for",434
"1557","soon as",433
"1558","am so",432
"1559","during a",432
"1560","if your",432
"1561","quite a",432
"1562","to join",431
"1563","will make",431
"1564","am a",430
"1565","and that's",430
